school,record,schedule,results,elite_wins,playoff_raw,record_z,schedule_z,results_z,elite_wins_z,playoff_z,wins,losses,poll_score,poll_rating,rank,solver_rating,conference,abbreviation,season,week,as_of
Colorado,-0.5125000000000001,1627.1401810819305,0.5576736131716507,0.0,0.0,-1.9045616665232161,1.469406723023474,0.21693381058669534,-0.5915398217883282,0.0,1,11,-1.052668014740431,1331.573117641531,84,1035.9276191134443,Pac-12,COLO,2022,17,2026-06-21T03:41:21Z
Boston College,-0.35000000000000003,1571.4603258550217,0.4443592819033513,1.412912920660738,0.0,-1.4418349975260336,0.6922925379327347,0.05594883445352507,0.037707251675679725,0.0,2,9,-1.053866005508126,1331.3814391186997,85,1293.151401773805,ACC,BC,2022,17,2026-06-21T03:41:21Z
California,-0.2,1536.7247628590567,0.6703580111267896,0.0,0.0,-1.0147026876824805,0.2074942456011118,0.37702384432158675,-0.5915398217883282,0.0,3,8,-1.0605038171783856,1330.3193892514582,86,1397.8374200991736,Pac-12,CAL,2022,17,2026-06-21T03:41:21Z
Northwestern,-0.5,1624.0449526054742,0.40551786699639414,0.0,0.0,-1.8689673073695863,1.4262071502992175,0.0007670742843737548,-0.5915398217883282,0.0,1,10,-1.104797404072381,1323.2324153484192,87,1270.7817807557217,Big Ten,NU,2022,17,2026-06-21T03:41:21Z
Arizona State,-0.35000000000000003,1534.678944140085,0.5076030635491386,1.8054940375997177,0.0,-1.4418349975260336,0.1789411047899843,0.14579888753032255,0.21254500375424554,0.0,2,9,-1.1207620227701005,1320.678076356784,88,1370.9961934728651,Pac-12,ASU,2022,17,2026-06-21T03:41:21Z
North Texas,0.11153846153846156,1482.8146564361864,-0.1052346718002465,1.9178597444305816,0.0,-0.12758173646894744,-0.5449198591093711,-0.7248559281004625,0.2625875726536585,0.0,6,7,-1.1402567830585868,1317.5589147106261,89,1522.0531170910897,Conference USA,UNT,2022,17,2026-06-21T03:41:21Z
Tulsa,-0.04999999999999998,1499.3747769606873,0.4460919896112077,0.0,0.0,-0.5875703778389275,-0.31379309856092386,0.058410481677428024,-0.5915398217883282,0.0,4,7,-1.1405998393693078,1317.5040257009107,90,1442.252710305473,American Athletic,TLSA,2022,17,2026-06-21T03:41:21Z
Kent State,-0.04999999999999998,1547.8800128822402,-0.06581694068032627,0.0,0.0,-0.5875703778389275,0.36318615600428783,-0.6688553990187599,-0.5915398217883282,0.0,4,7,-1.166208214732046,1313.4066856428726,91,1505.1560535147835,Mid-American,KENT,2022,17,2026-06-21T03:41:21Z
Wyoming,0.17499999999999996,1470.7371047520298,-0.15124773648150797,1.1276755185337743,0.0,0.053128086926401724,-0.7134841755336127,-0.7902264071618271,-0.08932449805659223,0.0,6,6,-1.1953129834632916,1308.7499226458733,92,1421.1551087318355,Mountain West,WYO,2022,17,2026-06-21T03:41:21Z
Georgia Southern,0.03750000000000001,1491.6022643946856,-0.14603018708025964,1.3418953366068493,0.0,-0.33840986376352167,-0.4222727227305809,-0.7828138666964484,0.006079253745350206,0.0,5,7,-1.217910796062042,1305.1342726300734,93,1430.550484834548,Sun Belt,GASO,2022,17,2026-06-21T03:41:21Z
App State,0.009999999999999964,1497.7637840706363,-0.11896605961286616,1.2141545147708446,0.0,-0.41671745390150655,-0.3362774498911677,-0.7443640266308759,-0.050810691223518716,0.0,4,6,-1.2180884401531515,1305.1058495754958,94,1547.3395007350691,Sun Belt,APP,2022,17,2026-06-21T03:41:21Z
Virginia,-0.2833333333333333,1537.3601695740135,0.35101471961005176,0.0,0.0,-1.2519984153733432,0.2163625080899883,-0.07666521325565466,-0.5915398217883282,0.0,2,7,-1.229135062448995,1303.3383900081608,95,1331.9306730913281,ACC,UVA,2022,17,2026-06-21T03:41:21Z
Utah State,0.17499999999999996,1471.1504476746748,-0.29013607565171773,1.2419612328194887,0.0,0.053128086926401724,-0.7077152192892905,-0.9875442196241505,-0.03842684527031897,0.0,6,6,-1.2342744166904203,1302.5160933295329,96,1312.8622996018105,Mountain West,USU,2022,17,2026-06-21T03:41:21Z
Nebraska,-0.2,1512.0308258711375,0.37162211866566125,0.0,0.0,-1.0147026876824805,-0.13715479561576982,-0.04738840768302978,-0.5915398217883282,0.0,3,8,-1.2381855467272074,1301.8903125236468,97,1439.2652713230907,Big Ten,NEB,2022,17,2026-06-21T03:41:21Z
Army,0.009999999999999964,1484.9311445389615,0.1188953075913097,0.0,0.0,-0.41671745390150655,-0.5153803978349205,-0.4064358396683496,-0.5915398217883282,0.0,4,6,-1.252090402108844,1299.665535662585,98,1607.6389565172192,FBS Independents,ARMY,2022,17,2026-06-21T03:41:21Z
UAB,0.17499999999999996,1471.5245671108003,-0.1199821348835455,0.0,0.0,0.053128086926401724,-0.7024936985158173,-0.7458075585422325,-0.5915398217883282,0.0,6,6,-1.2525447001731171,1299.5928479723013,99,1532.9290527292087,Conference USA,UAB,2022,17,2026-06-21T03:41:21Z
Louisiana,0.03750000000000001,1474.215387148847,0.11597490595706743,0.0,0.0,-0.33840986376352167,-0.6649383849725106,-0.4105848363762293,-0.5915398217883282,0.0,5,7,-1.265628945053129,1297.4993687914994,100,1532.3198760488435,Sun Belt,UL,2022,17,2026-06-21T03:41:21Z
Bowling Green,0.17499999999999996,1491.4213891847874,-0.36933857768192513,0.0,0.0,0.053128086926401724,-0.4247971669980874,-1.1000667289688033,-0.5915398217883282,0.0,6,6,-1.2764736641415935,1295.764213737345,101,1324.9382616547482,Mid-American,BGSU,2022,17,2026-06-21T03:41:21Z
UConn,0.03750000000000001,1460.9393676258276,-0.20317104497645713,1.768943073965468,0.0,-0.33840986376352167,-0.8502295113742544,-0.8639935333960451,0.19626686901372276,0.0,5,7,-1.3049181434339812,1291.213097050563,102,1352.4617731840053,FBS Independents,CONN,2022,17,2026-06-21T03:41:21Z
San Diego State,0.17499999999999996,1465.6925940968697,-0.3743279069534055,0.0,0.0,0.053128086926401724,-0.7838895451415386,-1.1071550384941713,-0.5915398217883282,0.0,6,6,-1.3571751816192412,1282.8519709409213,103,1487.1287767543597,Mountain West,SDSU,2022,17,2026-06-21T03:41:21Z
UL Monroe,-0.2,1535.4976931613353,-0.22394551965751403,0.0,0.0,-1.0147026876824805,0.19036824438741864,-0.8935077022860372,-0.5915398217883282,0.0,3,8,-1.3691991086312276,1280.9281426190037,104,1317.438978462687,Sun Belt,ULM,2022,17,2026-06-21T03:41:21Z
Southern Miss,0.17499999999999996,1431.7635355864131,-0.38479433317799083,1.496704724321554,0.0,0.053128086926401724,-1.2574315927599928,-1.122024626101541,0.07502430530498794,0.0,6,6,-1.3716041553280054,1280.5433351475192,105,1433.4265246185214,Sun Belt,USM,2022,17,2026-06-21T03:41:21Z
South Florida,-0.65,1562.8542727375361,0.40274757313515314,0.0,0.0,-2.2960996172131396,0.5721793313163085,-0.003168665230143561,-0.5915398217883282,0.0,0,11,-1.4046825022914287,1275.2507996333713,106,1286.3711309321538,American Athletic,USF,2022,17,2026-06-21T03:41:21Z
Ball State,-0.04999999999999998,1479.391476932102,-0.32023009539106617,0.0,0.0,-0.5875703778389275,-0.5926965880519104,-1.03029860907573,-0.5915398217883282,0.0,4,7,-1.4632487888380825,1265.8801937859068,107,1415.3033488907872,Mid-American,BALL,2022,17,2026-06-21T03:41:21Z
Rice,-0.10000000000000002,1502.2569869116742,-0.43456442491782804,0.0,0.0,-0.7299478144534454,-0.27356658884401047,-1.1927326904849633,-0.5915398217883282,0.0,4,8,-1.4690425020703353,1264.9531996687463,108,1252.048536891516,Conference USA,RICE,2022,17,2026-06-21T03:41:21Z
