school,quality_z,game_value_z,market_z,talent_prior_z,solver_rating,power_score,power_rating,rank,conference,abbreviation,season,week,as_of
Hawai'i,0.0,0.0,0.0,0.16963428700787261,1511.2958399041722,0.021631318830186527,1503.4610110128299,51,Mountain West,HAW,2026,0,2026-08-24T12:48:51Z
Delaware,0.0,0.0,0.0,0.15887168723889025,1510.5865212374622,0.020258900369561614,1503.24142405913,52,Conference USA,DEL,2026,0,2026-08-24T12:48:51Z
Louisiana Tech,0.0,0.0,0.0,0.15642934979957385,1510.4255568261399,0.01994745991272577,1503.191593586036,53,Sun Belt,LT,2026,0,2026-08-24T12:48:51Z
Oregon State,0.0,0.0,0.0,0.09810403283782784,1506.5815751720068,0.012509968652408441,1502.0015949843853,54,Pac-12,ORST,2026,0,2026-08-24T12:48:51Z
Rutgers,0.0,0.0,0.0,0.07907217114003921,1505.3272634764821,0.010083075625188214,1501.61329210003,55,Big Ten,RUTG,2026,0,2026-08-24T12:48:51Z
Pittsburgh,0.0,0.0,0.0,0.07334189151492138,1504.9496043243432,0.009352365414750078,1501.49637846636,56,ACC,PITT,2026,0,2026-08-24T12:48:51Z
Sacramento State,0.0,0.0,0.0,-0.0017592059999808375,1500.0,-0.00022432932955232426,1499.9641073072717,57,Mid-American,SAC,2026,0,2026-08-24T12:48:51Z
North Dakota State,0.0,0.0,0.0,-0.0017592059999808375,1500.0,-0.00022432932955232426,1499.9641073072717,57,Mountain West,NDSU,2026,0,2026-08-24T12:48:51Z
Mississippi State,0.0,0.0,0.0,-0.012086769060007831,1499.3193528127642,-0.0015412730514305134,1499.7533963117712,59,SEC,MSST,2026,0,2026-08-24T12:48:51Z
Purdue,0.0,0.0,0.0,-0.026756081624645184,1498.3525587803513,-0.0034118652689732166,1499.4541015569644,60,Big Ten,PUR,2026,0,2026-08-24T12:48:51Z
Jacksonville State,0.0,0.0,0.0,-0.0495745388476782,1496.848688154179,-0.0063216150142089336,1498.9885415977267,61,Conference USA,JXST,2026,0,2026-08-24T12:48:51Z
Wisconsin,0.0,0.0,0.0,-0.05687914358909814,1496.3672717113823,-0.007253079029398351,1498.8395073552963,62,Big Ten,WIS,2026,0,2026-08-24T12:48:51Z
New Mexico,0.0,0.0,0.0,-0.07920757115748471,1494.8956969234594,-0.010100341479860863,1498.3839453632222,63,Mountain West,UNM,2026,0,2026-08-24T12:48:51Z
Auburn,0.0,0.0,0.0,-0.08503283129116941,1494.51177799681,-0.010843163355338553,1498.265093863146,64,SEC,AUB,2026,0,2026-08-24T12:48:51Z
Army,0.0,0.0,0.0,-0.09200090471637809,1494.0525409483646,-0.011731713780794956,1498.122925795073,65,American Athletic,ARMY,2026,0,2026-08-24T12:48:51Z
Virginia Tech,0.0,0.0,0.0,-0.09954003291035257,1493.5556680297861,-0.012693083610810169,1497.9691066222704,66,ACC,VT,2026,0,2026-08-24T12:48:51Z
