school,solver_rating,solver_iterations,solver_max_change,solver_z,quality_z,prior_rating,prior_z,market_z,fbs_games,credibility,h2h_adjustment,power_score,power_rating,wins,losses,rank,conference,abbreviation,season,week,as_of
Virginia Tech,1795.0378194942814,5,3.366831466081454e-05,0.7713853086963062,0.5992416365648305,1564.6600930571194,0.4566503498289483,0.26051734166361573,13,1.0,0.0,0.693920656237142,1611.0273049979428,6,7,37,ACC,VT,2024,17,2026-09-23T04:17:06Z
Washington,1754.6547136619436,5,3.366831466081454e-05,0.609344235849874,0.783247087335014,1659.8779840627883,1.1178873014663175,-0.7339198401883795,12,1.0,0.0,0.6876005190181871,1610.01608304291,6,7,38,Big Ten,WASH,2024,17,2026-09-23T04:17:06Z
Boise State,1775.460506128121,5,3.366831466081454e-05,0.692829467189854,0.59913398491064,1559.7710477235387,0.42269856410202694,0.0899861262983981,13,1.0,0.0,0.6506665001642077,1604.1066400262732,12,2,39,Mountain West,BOIS,2024,17,2026-09-23T04:17:06Z
Iowa State,1801.7953368749454,5,3.366831466081454e-05,0.7985004932164717,0.41357144374230304,1558.5030546538155,0.41389303540079647,-0.20216317162887848,13,1.0,0.0,0.6252824209530957,1600.0451873524953,11,3,40,Big 12,ISU,2024,17,2026-09-23T04:17:06Z
Georgia Tech,1741.9974602829595,5,3.366831466081454e-05,0.5585557966115697,0.6896550234039577,1503.8582985037947,0.03441464538419823,0.30388662234229125,12,1.0,-0.02214518514803676,0.5954052635201076,1595.2648421632173,7,6,41,ACC,GT,2024,17,2026-09-23T04:17:06Z
UCF,1676.3138564759586,5,3.366831466081454e-05,0.29499405687080366,0.8342186053407173,1559.4851992364343,0.4207135003682394,-0.8663924578629677,11,1.0,0.0,0.5376451036822648,1586.0232165891623,4,8,42,Big 12,UCF,2024,17,2026-09-23T04:17:06Z
Syracuse,1720.3744025540454,5,3.366831466081454e-05,0.4717912102728984,0.5607903406980528,1406.1660164512734,-0.6440056189237072,0.44669172581677297,12,1.0,0.02214518514803676,0.5339860041122546,1585.4377606579608,10,3,43,ACC,SYR,2024,17,2026-09-23T04:17:06Z
Wisconsin,1705.426983129998,5,3.366831466081454e-05,0.4118132608349755,0.3461544697991864,1569.9832884986104,0.49361707414435935,-0.4361866420800852,11,1.0,0.04526352746223594,0.4275303323311064,1568.404853172977,5,7,44,Big Ten,WIS,2024,17,2026-09-23T04:17:06Z
Vanderbilt,1791.1747388508813,5,3.366831466081454e-05,0.7558843282975286,0.0017692350219467579,1378.5293847660332,-0.8359271359418167,1.5626893026624231,12,1.0,0.0,0.4165325363235167,1566.6452058117627,7,6,45,SEC,VAN,2024,17,2026-09-23T04:17:06Z
UCLA,1708.7600818812462,5,3.366831466081454e-05,0.42518763822431577,0.315673659703349,1556.2251039149323,0.39807389483119976,0.2561035110418421,12,1.0,0.020569874592281878,0.3964762224821626,1563.436195597146,5,7,46,Big Ten,UCLA,2024,17,2026-09-23T04:17:06Z
Kentucky,1714.0197700915455,5,3.366831466081454e-05,0.4462926400033555,0.3173984786000831,1577.3029776104468,0.5444483713315212,-1.1482888850043709,11,1.0,0.0,0.3882902673718829,1562.1264427795013,4,8,47,SEC,UK,2024,17,2026-09-23T04:17:06Z
Rutgers,1746.4522261383636,5,3.366831466081454e-05,0.5764309704896344,0.27711714705577684,1474.566536200799,-0.1690008620246579,0.5476477359044424,12,1.0,-0.06583340205451782,0.3759063478898807,1560.145015662381,7,6,48,Big Ten,RUTG,2024,17,2026-09-23T04:17:06Z
